"job_id","gemma_mean","gemma_ai_pedagogy","llama_mean","llama_ai_pedagogy","mistral_mean","mistral_ai_pedagogy","olmo_mean","olmo_ai_pedagogy","qwen_mean","qwen_ai_pedagogy"
"1","4.471666666666667","1","5.0","1","4.833333333333333","1","4.666666666666667","1","4.833333333333333","1"
"2","3.8333333333333335","1","3.8333333333333335","1","4.5","1","4.5","1","4.166666666666667","1"
"3","4.25","1","4.833333333333333","1","4.5","1","4.5","1","4.5","1"
"4","4.25","1","4.333333333333333","1","4.5","1","4.5","1","4.5","1"
"5","3.8333333333333335","1","3.8333333333333335","1","4.5","1","4.333333333333333","1","4.166666666666667","1"
"6","4.083333333333333","1","4.5","1","4.666666666666667","1","4.666666666666667","1","4.0","1"
"7","4.0","1","4.666666666666667","1","4.5","1","4.666666666666667","1","4.166666666666667","1"
"8","4.25","1","4.666666666666667","1","4.666666666666667","1","4.5","1","4.833333333333333","1"
"9","3.0","0","3.0","0","3.6666666666666665","1","3.6666666666666665","1","4.166666666666667","1"
"10","4.305","1","4.5","1","4.166666666666667","1","4.5","1","4.833333333333333","1"
"11","4.5","1","4.833333333333333","1","4.5","1","4.833333333333333","1","4.833333333333333","1"
"12","2.333333333333333","0","2.333333333333333","0","1.721666666666667","0","3.8333333333333335","1","3.1666666666666665","0"
"13","4.25","1","4.166666666666667","1","4.0","1","4.5","1","4.666666666666667","1"
"14","3.633333333333333","1","4.5","1","4.266666666666667","1","4.666666666666667","1","4.166666666666667","1"
"15","3.1666666666666665","0","2.333333333333333","0","3.8666666666666663","1","4.333333333333333","1","3.6666666666666665","1"
"16","4.5","1","4.833333333333333","1","4.5","1","4.833333333333333","1","4.833333333333333","1"
"17","2.833333333333333","0","1.8333333333333333","0","3.3833333333333333","0","3.1666666666666665","1","3.0","0"
"18","4.471666666666667","1","5.0","1","4.5","1","4.666666666666667","1","4.833333333333333","1"
"19","3.6666666666666665","1","3.8333333333333335","1","4.5","1","4.5","1","4.166666666666667","1"
"20","4.25","1","3.8333333333333335","1","4.5","1","4.666666666666667","1","4.166666666666667","1"
"21","3.25","1","4.0","1","4.5","1","4.5","1","4.166666666666667","1"
"22","4.055","1","4.666666666666667","1","4.666666666666667","1","4.5","1","4.166666666666667","1"
"23","2.6666666666666665","0","3.1666666666666665","1","3.8333333333333335","1","3.1666666666666665","0","3.5","1"
"24","2.6666666666666665","0","2.5","0","3.3666666666666667","0","2.833333333333333","0","3.0","0"
"25","2.833333333333333","0","2.5","0","3.45","1","3.5","1","3.333333333333333","1"
"26","3.888333333333333","1","3.1666666666666665","1","4.033333333333333","1","4.5","1","4.0","1"
"27","3.8333333333333335","1","4.333333333333333","1","4.055","1","4.5","1","4.166666666666667","1"
"28","3.0","0","2.333333333333333","0","3.5","1","4.0","1","3.5","1"
"29","3.75","1","3.333333333333333","1","4.2","1","4.333333333333333","1","4.166666666666667","1"
"30","4.0","1","4.0","1","4.033333333333333","1","4.666666666666667","1","4.166666666666667","1"
"31","3.0","0","3.8333333333333335","1","3.8666666666666663","1","4.5","1","3.5","1"
"32","3.25","1","2.6666666666666665","0","3.7","1","3.0","0","3.5","1"
"33","4.0","1","3.333333333333333","1","4.5","1","4.666666666666667","1","3.8333333333333335","1"
"34","3.1666666666666665","0","3.0","0","4.466666666666667","1","3.8333333333333335","1","3.5","0"
"35","3.0","0","2.833333333333333","0","3.8666666666666663","1","4.0","1","3.5","1"
"36","4.0","1","4.166666666666667","1","4.166666666666667","1","4.666666666666667","1","4.333333333333333","1"
"37","3.888333333333333","1","4.166666666666667","1","4.666666666666667","1","4.5","1","4.166666666666667","1"
"38","3.8333333333333335","1","4.0","1","4.0","1","3.6666666666666665","1","4.166666666666667","1"
"39","4.055","1","4.5","1","3.7","1","4.166666666666667","1","3.5","1"
"40","3.1666666666666665","0","3.0","0","3.2","0","4.333333333333333","1","3.333333333333333","0"
"41","3.966666666666667","1","3.8333333333333335","1","4.466666666666667","1","4.833333333333333","1","4.0","1"
"42","3.888333333333333","1","4.0","1","4.0","1","4.5","1","3.8333333333333335","1"
"43","2.833333333333333","0","3.6666666666666665","1","3.945","1","3.6666666666666665","1","3.5","1"
"44","3.8333333333333335","1","4.833333333333333","1","4.5","1","4.666666666666667","1","4.5","1"
"45","4.083333333333333","1","4.833333333333333","1","4.666666666666667","1","4.5","1","4.333333333333333","1"
"46","3.333333333333333","0","2.5","0","2.333333333333333","0","3.6666666666666665","1","3.0","0"
"47","3.25","1","3.6666666666666665","1","3.7","1","4.5","1","3.5","1"
"48","3.0","0","2.333333333333333","0","3.1666666666666665","0","3.8333333333333335","1","2.805","0"
"49","4.305","1","4.333333333333333","1","4.0","1","4.5","1","4.833333333333333","1"
"50","3.75","1","4.166666666666667","1","4.466666666666667","1","4.666666666666667","1","4.166666666666667","1"
