"job_id","gemma_mean","gemma_ai_pedagogy","llama_mean","llama_ai_pedagogy","mistral_mean","mistral_ai_pedagogy","olmo_mean","olmo_ai_pedagogy","qwen_mean","qwen_ai_pedagogy"
"1","4.666666666666667","1","4.833333333333333","1","4.833333333333333","1","4.5","1","4.666666666666667","1"
"2","3.6666666666666665","1","2.6666666666666665","0","4.0","1","3.6666666666666665","1","4.166666666666667","1"
"3","4.666666666666667","1","4.5","1","4.833333333333333","1","4.166666666666667","1","4.333333333333333","1"
"4","4.666666666666667","1","4.833333333333333","1","4.833333333333333","1","3.5","0","4.333333333333333","1"
"5","3.8333333333333335","1","3.1666666666666665","1","3.5","1","3.8333333333333335","1","3.8333333333333335","1"
"6","4.0","1","4.333333333333333","1","4.166666666666667","1","4.0","1","4.166666666666667","1"
"7","4.333333333333333","1","4.166666666666667","1","4.166666666666667","1","4.333333333333333","1","4.166666666666667","1"
"8","4.0","1","4.333333333333333","1","4.833333333333333","1","4.333333333333333","1","4.666666666666667","1"
"9","3.0","0","2.833333333333333","0","1.5","0","2.833333333333333","0","3.6666666666666665","0"
"10","4.166666666666667","1","4.5","1","4.166666666666667","1","4.166666666666667","1","4.333333333333333","1"
"11","4.666666666666667","1","4.5","1","4.666666666666667","1","4.833333333333333","1","4.666666666666667","1"
"12","2.333333333333333","0","1.8333333333333333","0","1.3333333333333333","0","3.5","1","3.6666666666666665","0"
"13","4.166666666666667","1","3.6666666666666665","1","4.166666666666667","1","4.666666666666667","1","4.166666666666667","1"
"14","3.5","0","3.333333333333333","0","4.166666666666667","1","4.166666666666667","1","4.166666666666667","1"
"15","3.0","0","2.333333333333333","0","2.0","0","2.833333333333333","0","3.333333333333333","0"
"16","4.666666666666667","1","4.833333333333333","1","4.833333333333333","1","4.833333333333333","1","4.333333333333333","1"
"17","1.8333333333333333","0","1.1666666666666667","0","0.3333333333333333","0","2.333333333333333","0","3.0","0"
"18","4.5","1","5.0","1","4.666666666666667","1","4.666666666666667","1","4.638333333333333","1"
"19","3.6666666666666665","1","3.6666666666666665","1","4.0","1","4.166666666666667","1","4.166666666666667","1"
"20","4.666666666666667","1","4.166666666666667","1","4.5","1","4.166666666666667","1","4.5","1"
"21","3.4166666666666665","1","4.5","1","4.166666666666667","1","4.666666666666667","1","3.8333333333333335","1"
"22","4.166666666666667","1","4.166666666666667","1","4.0","1","4.0","1","4.166666666666667","1"
"23","2.833333333333333","0","2.1666666666666665","0","2.5","0","2.6666666666666665","0","3.5","0"
"24","2.1666666666666665","0","2.0","0","1.0","0","2.833333333333333","0","3.1666666666666665","0"
"25","2.6666666666666665","0","2.0","0","0.6666666666666666","0","2.333333333333333","0","3.1666666666666665","0"
"26","3.6666666666666665","1","3.8333333333333335","0","3.8333333333333335","1","4.5","1","4.166666666666667","1"
"27","3.6666666666666665","1","4.0","1","3.5","0","3.333333333333333","0","3.8333333333333335","1"
"28","2.333333333333333","0","2.5","0","1.8333333333333333","0","2.833333333333333","0","3.6666666666666665","0"
"29","4.5","1","3.5","0","3.1666666666666665","0","4.333333333333333","1","4.166666666666667","1"
"30","4.166666666666667","1","4.166666666666667","1","3.8333333333333335","1","3.8333333333333335","1","4.166666666666667","1"
"31","3.0","0","3.5","0","3.333333333333333","0","3.0","0","3.8333333333333335","0"
"32","3.0","0","2.1666666666666665","0","3.1666666666666665","0","2.333333333333333","0","3.5","0"
"33","3.8333333333333335","1","3.0","0","1.0","0","3.6666666666666665","1","3.6666666666666665","0"
"34","3.1666666666666665","0","2.333333333333333","0","1.6666666666666667","0","3.8333333333333335","1","3.333333333333333","0"
"35","2.833333333333333","0","2.833333333333333","0","3.333333333333333","0","3.0","0","3.8333333333333335","0"
"36","3.8333333333333335","1","4.166666666666667","1","3.5","0","3.1666666666666665","0","4.333333333333333","1"
"37","3.8333333333333335","1","4.166666666666667","1","3.1666666666666665","1","3.8333333333333335","1","4.0","1"
"38","3.8333333333333335","1","3.1666666666666665","1","3.0","1","2.833333333333333","0","3.8333333333333335","1"
"39","4.083333333333333","1","4.166666666666667","1","3.8333333333333335","1","3.0","0","3.6666666666666665","0"
"40","2.833333333333333","0","2.333333333333333","0","2.1666666666666665","0","3.6666666666666665","1","3.1666666666666665","0"
"41","3.8333333333333335","1","3.8333333333333335","1","2.1666666666666665","0","4.166666666666667","1","3.8333333333333335","0"
"42","3.6666666666666665","1","3.5","1","3.333333333333333","1","4.166666666666667","1","4.166666666666667","1"
"43","2.833333333333333","0","2.5","0","3.333333333333333","0","2.5","0","3.8333333333333335","0"
"44","4.0","1","4.666666666666667","1","4.333333333333333","1","3.8333333333333335","1","4.166666666666667","1"
"45","4.333333333333333","1","4.666666666666667","1","4.166666666666667","1","4.166666666666667","1","4.166666666666667","1"
"46","3.0","0","1.8333333333333333","0","0.8333333333333334","0","2.1666666666666665","0","2.6666666666666665","0"
"47","3.0","0","3.5","0","3.333333333333333","0","3.1666666666666665","0","4.0","1"
"48","3.0","0","2.1666666666666665","0","2.833333333333333","0","3.0","0","3.6666666666666665","0"
"49","4.166666666666667","1","4.333333333333333","1","3.8333333333333335","1","4.333333333333333","1","4.333333333333333","1"
"50","4.0","1","4.0","1","3.0","0","3.6666666666666665","0","3.8333333333333335","0"
