"job_id","llama_mean","llama_ai_pedagogy","qwen2_mean","qwen2_ai_pedagogy","mistral_mean","mistral_ai_pedagogy"
"1","4.833333333333333","1","4.833333333333333","1","4.666666666666667","1"
"2","2.333333333333333","0","3.8333333333333335","1","4.0","1"
"3","4.666666666666667","1","4.833333333333333","1","4.833333333333333","1"
"4","4.833333333333333","1","4.666666666666667","1","4.833333333333333","1"
"5","3.6666666666666665","1","4.166666666666667","1","3.5","1"
"6","4.166666666666667","1","4.833333333333333","1","4.166666666666667","1"
"7","4.166666666666667","1","3.6666666666666665","1","3.8333333333333335","1"
"8","4.5","1","4.833333333333333","1","4.833333333333333","1"
"9","2.833333333333333","0","4.0","1","0.8333333333333334","0"
"10","4.5","1","4.833333333333333","1","4.166666666666667","1"
"11","4.666666666666667","1","4.833333333333333","1","4.666666666666667","1"
"12","1.6666666666666667","0","3.8333333333333335","1","0.8333333333333334","0"
"13","3.1666666666666665","1","4.666666666666667","1","3.1666666666666665","0"
"14","3.8333333333333335","0","4.333333333333333","1","3.8333333333333335","0"
"15","2.333333333333333","0","3.8333333333333335","1","2.0","0"
"16","4.833333333333333","1","4.5","1","4.833333333333333","1"
"17","1.3333333333333333","0","3.6666666666666665","1","0.6666666666666666","0"
"18","5.0","1","4.833333333333333","1","4.666666666666667","1"
"19","4.0","1","4.833333333333333","1","4.0","1"
"20","4.333333333333333","1","4.833333333333333","1","4.166666666666667","1"
"21","4.833333333333333","1","4.833333333333333","1","4.0","1"
"22","4.166666666666667","1","4.833333333333333","1","4.0","1"
"23","1.8333333333333333","0","4.5","1","2.333333333333333","0"
"24","2.1666666666666665","0","3.8333333333333335","1","1.0","0"
"25","1.8333333333333333","0","3.5","0","0.8333333333333334","0"
"26","3.333333333333333","0","4.166666666666667","1","4.166666666666667","1"
"27","4.0","1","4.833333333333333","1","3.5","0"
"28","3.0","0","3.8333333333333335","1","1.5","0"
"29","2.5","0","4.0","1","3.0","0"
"30","4.166666666666667","1","4.166666666666667","1","3.8333333333333335","1"
"31","2.6666666666666665","0","4.166666666666667","1","3.333333333333333","0"
"32","2.5","0","3.1666666666666665","0","3.333333333333333","0"
"33","2.5","0","3.333333333333333","1","2.833333333333333","0"
"34","1.8333333333333333","0","3.1666666666666665","0","1.0","0"
"35","2.833333333333333","0","4.0","1","3.333333333333333","0"
"36","4.166666666666667","1","4.333333333333333","1","4.0","1"
"37","4.166666666666667","1","4.833333333333333","1","4.0","1"
"38","3.0","1","4.5","1","3.5","1"
"39","4.166666666666667","1","4.666666666666667","1","4.166666666666667","1"
"40","2.1666666666666665","0","3.1666666666666665","1","2.1666666666666665","0"
"41","3.333333333333333","1","3.8333333333333335","1","3.5","0"
